Signal_ID,Subject,Window,Activity,SNR,Truth,Predictive_Mean,Absolute Error,Epistemic,Aleotoric,Predictive
5,6,0,Rest_Begin,7.480476492005604,68.7285,68.939995,0.21149481201172193,1.8462559,2.3831842,4.22944
5,6,1,Rest_Begin,7.4737248673275705,69.8035,69.43172,0.37178308105468716,0.54473865,2.3764875,2.921226
5,6,2,Rest_Begin,5.517071589617184,69.7674,69.87924,0.11184194335938002,1.068387,2.4064875,3.4748745
5,6,3,Rest_Begin,5.834308445690132,69.2841,70.40244,1.1183429321289111,1.0692296,2.425003,3.4942327
5,6,4,Rest_Begin,4.598509828266454,69.4444,70.28199,0.8375900512695296,1.2776681,2.41621,3.6938782
5,6,5,Rest_Begin,4.674253800068363,70.7547,71.64073,0.8860318115234378,1.1671039,2.4732902,3.6403942
5,6,6,Rest_Begin,3.6649437751090357,73.0519,73.90614,0.8542431884765591,1.1318643,2.508599,3.6404634
5,6,7,Rest_Begin,3.8743899159781003,73.69,74.13472,0.4447198486328148,1.2291958,2.4644566,3.6936524
5,6,8,Rest_Begin,7.205037355666234,74.8337,74.30443,0.5292718994140557,1.1701635,2.482756,3.6529193
5,6,9,Rest_Begin,6.916686274370511,75.167,74.9031,0.26390093994140784,0.855932,2.5280168,3.3839488
5,6,10,Rest_Begin,1.8100789204893175,75.0834,75.952484,0.8690841308593775,0.8135532,2.5198016,3.333355
5,6,11,Rest_Begin,-0.7213737491494236,77.3196,78.683716,1.364115820312506,1.1226193,2.5657146,3.688334
5,6,12,Rest_Begin,-2.024236091120766,78.4884,78.50115,0.012752038574220137,1.9051949,2.5670543,4.472249
5,6,13,Rest_Begin,-2.0672381850545656,78.8644,78.537636,0.32676419677734714,1.0180752,2.5587475,3.5768228
5,6,14,Rest_Begin,1.536654467086045,78.2155,80.786545,2.5710447998046817,0.97658974,2.5926569,3.5692465
5,6,15,6km/h,3.930347702330104,79.693,80.11496,0.42195971679687716,0.40383053,2.562829,2.9666595
5,6,16,6km/h,11.41409882294123,83.1486,84.07497,0.9263664306640607,0.88720196,2.6678782,3.5550802
5,6,17,6km/h,8.742654788794672,86.8056,86.48701,0.31859285888671707,0.6878993,2.7013185,3.3892179
5,6,18,6km/h,4.0863523763873095,89.7715,90.35879,0.5872875366210906,1.0570657,2.7698255,3.8268912
5,6,19,6km/h,1.6275547307816347,93.75,93.34426,0.40573883056640625,0.83510244,2.819223,3.6543255
5,6,20,6km/h,-1.1263334799432148,97.4026,98.81755,1.4149506591796808,3.6569707,2.918365,6.5753355
5,6,21,6km/h,-2.0230540591701187,101.6684,104.91693,3.2485311523437446,2.1347551,3.0223775,5.1571326
5,6,22,6km/h,-2.0411352510349468,106.2753,107.59492,1.3196172973632798,2.5905359,3.0847194,5.6752553
5,6,23,6km/h,-1.5078820188219877,110.9937,111.19086,0.19715693359374598,1.778313,3.1161573,4.89447
5,6,24,6km/h,-2.4925713892495156,114.5621,119.10861,4.546512060546874,1.8401682,3.26584,5.1060085
5,6,25,6km/h,-0.5356933633991976,118.2965,118.91699,0.6204921875000053,1.856697,3.2677906,5.1244874
5,6,26,6km/h,0.7291057001244728,120.3209,120.286995,0.033905065917963384,0.98568934,3.2668004,4.2524896
5,6,27,6km/h,1.3139685489407058,120.9677,119.758354,1.2093458129882748,1.4500967,3.2649055,4.715002
5,6,28,6km/h,2.9110712614555876,120.5788,120.913666,0.3348657714843739,0.83147997,3.2781456,4.1096253
5,6,29,6km/h,3.171063004913412,119.6809,120.96963,1.2887273803710997,0.9802297,3.292815,4.2730446
5,6,30,6km/h,2.8484808665067813,119.1737,120.32977,1.1560729492187534,0.6324612,3.2698226,3.9022837
