Signal_ID,Subject,Window,Activity,SNR,Truth,Predictive_Mean,Absolute Error,Epistemic,Aleotoric,Predictive
23,20,0,Rest_Begin,-10.62865397325752,107.14285714285714,90.77458,16.36827523367745,1.5088054,2.9882576,4.497063
23,20,1,Rest_Begin,-24.874817734035616,102.73972602739727,104.432755,1.6930284892042948,0.36781996,2.6206145,2.9884346
23,20,2,Rest_Begin,-12.740132292177996,102.73972602739727,103.083046,0.3433199320753886,0.41734368,2.5430868,2.9604304
23,20,3,Rest_Begin,0.16212184989413614,100.0,101.490616,1.4906158447265625,0.71208906,2.5934358,3.3055248
23,20,4,Rest_Begin,5.3850243179215305,98.6842105263158,101.05601,2.3717968589381115,0.2820876,2.5283682,2.8104558
23,20,5,Rest_Begin,-1.5257722221704189,102.73972602739727,104.21092,1.4711962138136698,0.58464944,2.665413,3.2500625
23,20,6,Rest_Begin,-2.92549193066571,104.16666666666667,104.18547,0.018803914388016096,0.56873,2.6224203,3.1911502
23,20,7,Rest_Begin,-5.421889576304504,101.35135135135135,105.346245,3.9948934606603643,0.9555269,2.6397884,3.5953152
23,20,8,Rest_Begin,-7.926422877641963,101.35135135135135,103.499405,2.148053555875208,1.0428915,2.6840293,3.7269208
23,20,9,Rest_Begin,-5.4723403232349055,105.63380281690142,106.61277,0.978967263664984,0.5966414,2.6433632,3.2400045
23,20,10,Rest_Begin,-4.867928002187344,104.16666666666667,107.87353,3.7068608601887973,0.5670242,2.7485409,3.315565
23,20,11,Rest_Begin,-0.28662989036868936,110.29411764705881,109.27437,1.0197493609259993,0.64260805,2.5805812,3.2231894
23,20,12,Rest_Begin,4.331048372773467,108.69565217391303,109.65419,0.9585378895635301,0.22852644,2.5837862,2.8123126
23,20,13,Rest_Begin,3.7261270354017553,108.69565217391303,108.53263,0.1630212535028761,0.54267937,2.5983665,3.1410458
23,20,14,Rest_Begin,1.7719986668974932,108.69565217391303,108.810326,0.1146734486455614,0.327489,2.6288812,2.95637
23,20,15,Rest_Begin,1.511173625921777,108.69565217391303,109.33656,0.6409109364385301,0.5415577,2.5951495,3.1367073
23,20,16,Rest_Begin,2.0536654994356986,108.69565217391303,109.79059,1.0949362049932176,0.29670087,2.6143942,2.9110951
23,20,17,Rest_Begin,2.960122855523823,110.29411764705881,108.99192,1.3021971758674056,0.53233093,2.6247268,3.1570578
23,20,18,Rest_Begin,9.896226248199191,107.14285714285714,107.467995,0.32513754708426745,0.60403574,2.596439,3.2004747
